building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt
yes,,,,,平盛大厦,10.5,default,1256.9,"POLYGON ((358262.2154399046 3464367.036762986, 358278.3585106219 3464333.7911248645, 358271.15928108967 3464330.0745169693, 358272.7698894855 3464327.391929114, 358267.76905419223 3464325.0425627176, 358265.78020441975 3464328.6172047295, 358261.6697468502 3464326.643850812, 358260.03088776453 3464329.3489957536, 358251.179860033 3464325.2666786727, 358237.049506417 3464356.700191292, 358232.5910762043 3464365.6076992983, 358250.11748255056 3464374.1627181377, 358252.0339362984 3464369.458197068, 358256.6489604882 3464371.4358165557, 358259.39397874847 3464366.0548951793, 358262.2154399046 3464367.036762986))"
apartments,,,,,,10.5,default,1935.4,"POLYGON ((357851.52372971573 3464511.089668715, 357857.1791293312 3464495.0036744126, 357952.4343741905 3464534.113856894, 357953.2955956477 3464534.445887254, 357959.3190627046 3464520.927112037, 357966.2303381092 3464523.061990223, 357959.31696577824 3464537.6460572765, 357957.06911413674 3464536.8449808867, 357955.09505830496 3464542.204467115, 357953.3738343691 3464546.5516303047, 357949.5623290825 3464548.3771292255, 357945.198371134 3464546.6623291248, 357943.70043906406 3464549.221493242, 357851.52372971573 3464511.089668715))"
apartments,,,,,,10.5,default,720.2,"POLYGON ((357780.7256017727 3464433.5655651633, 357784.6637195976 3464423.522954134, 357829.3349227755 3464440.8781588757, 357819.31465902866 3464466.424945109, 357807.93630771386 3464462.0002975175, 357814.0184058355 3464446.496097447, 357780.7256017727 3464433.5655651633))"
apartments,,,,,,10.5,default,1808.8,"POLYGON ((357827.53976222826 3464645.576308449, 357827.05333663046 3464575.9687377163, 357840.4130035365 3464576.2866008542, 357841.19094029965 3464633.694712237, 357884.3399659732 3464633.6200783784, 357887.5521436336 3464626.2038280494, 357907.33194645797 3464634.5725291125, 357902.1224210974 3464646.3286003396, 357827.53976222826 3464645.576308449))"
apartments,,,,,,10.5,default,1325.2,"POLYGON ((357717.00766375475 3464446.503066027, 357729.2582917883 3464414.1629623636, 357767.1376771624 3464428.361574201, 357770.7036484631 3464418.9559516115, 357723.66768131836 3464401.3226248804, 357707.64881988824 3464443.5922045247, 357703.76425933547 3464442.13708269, 357699.9869707641 3464452.0999393375, 357740.36371223687 3464467.251304784, 357744.3432025907 3464456.7535547325, 357717.00766375475 3464446.503066027))"
apartments,,,,,,10.5,default,1253.5,"POLYGON ((357832.9038697138 3464549.702378114, 357837.33555261313 3464537.4468194623, 357930.02687422006 3464576.3365332247, 357931.8403121673 3464578.096952726, 357930.8701376775 3464581.668959381, 357928.65279608173 3464588.0406470713, 357832.9038697138 3464549.702378114))"
apartments,,,,,,10.5,default,2241.0,"POLYGON ((357739.3902992265 3464507.786852724, 357743.09146128356 3464497.8250425626, 357816.0095304216 3464528.090294392, 357804.135897247 3464555.9461089117, 357695.14314622834 3464558.177894557, 357694.72769516497 3464546.4980119467, 357802.9555677059 3464544.0105117178, 357805.6599912923 3464536.357207946, 357739.3902992265 3464507.786852724))"
apartments,,,,,,10.5,default,1511.9,"POLYGON ((357859.53367119376 3464480.4923869623, 357868.91112323233 3464455.9743386437, 357961.0607687725 3464492.077813217, 357959.5731797217 3464495.401824433, 357966.76206576644 3464498.353369352, 357964.77418982977 3464502.6930530467, 357967.85952120315 3464504.181262501, 357963.38640141336 3464513.3884441634, 357954.15043373767 3464509.699628481, 357956.1046231163 3464503.575421384, 357874.218985246 3464471.146806404, 357868.7861268179 3464484.6908925287, 357859.53367119376 3464480.4923869623))"
apartments,,,,,,10.5,default,1029.3,"POLYGON ((357755.708735114 3464474.2718487554, 357766.1496624107 3464447.466479213, 357775.7188707298 3464451.1506177126, 357769.3807104252 3464467.423305363, 357829.9539318984 3464490.7715505054, 357825.85124649055 3464501.3152818065, 357755.708735114 3464474.2718487554))"
apartments,,,,,,10.5,default,639.4,"POLYGON ((357859.32681621134 3464596.6074589044, 357863.26859674364 3464586.1324400078, 357917.6838082497 3464607.502438058, 357913.73507770244 3464617.467535008, 357859.32681621134 3464596.6074589044))"
apartments,,,,,,10.5,default,1886.0,"POLYGON ((357565.02020118 3464357.9527330683, 357571.0331783203 3464349.999450968, 357609.4783993677 3464379.2014026716, 357622.9058665286 3464361.3467671643, 357697.8128878421 3464387.2604035907, 357691.54339366464 3464405.7828353415, 357681.2793297706 3464402.108196072, 357683.23944575 3464395.7288547624, 357629.1218279464 3464378.1698302105, 357630.3386706959 3464373.8405408366, 357627.5206034148 3464373.1137909386, 357610.7105579553 3464394.939066868, 357565.02020118 3464357.9527330683))"
yes,,,,,,10.5,default,2163.7,"POLYGON ((359142.1341659331 3465140.7272572266, 359141.7214069865 3465122.7500718483, 359143.4423978985 3465117.6492229323, 359146.1919664602 3465113.2995481556, 359149.9733880318 3465109.9449131135, 359154.03900688514 3465108.615340622, 359209.6936555511 3465107.8681440875, 359210.38434080523 3465140.8863270567, 359142.1341659331 3465140.7272572266))"
